Acce X,Acce Y,Acce Z,Gyro X,Gyro Y,Gyro Z,Quat x,Quat y,Quat z,Quat w,Mag X,MagY,Mag Z
-0.1774,-0.0953,0.2232,0.0776,-1.0806,-0.0804,-0.3427,0.5142,0.4909,0.6142,42.4698,7.8674,29.895
-0.1721,-0.1108,0.2322,0.0733,-1.0764,-0.0772,-0.3414,0.5124,0.4917,0.6157,42.4698,7.8674,29.895
-0.192,-0.1282,0.2348,0.0701,-1.0732,-0.074,-0.3401,0.5107,0.4924,0.6172,42.4698,7.8674,29.895
-0.1993,-0.071,0.2064,0.0691,-1.0679,-0.074,-0.3388,0.509,0.4932,0.6188,42.4698,7.8674,29.895
-0.2011,-0.1141,0.2195,0.0669,-1.0647,-0.0698,-0.3375,0.5073,0.4939,0.6203,43.1686,8.5663,27.8564
-0.2225,-0.0878,0.2022,0.0659,-1.0593,-0.0644,-0.3361,0.5056,0.4946,0.6218,43.1686,8.5663,27.8564
-0.1785,-0.1278,0.2791,0.0638,-1.0529,-0.0644,-0.3348,0.504,0.4954,0.6233,43.1686,8.5663,27.8564
-0.1479,-0.0997,0.2661,0.0584,-1.0476,-0.0634,-0.3335,0.5023,0.4961,0.6248,43.1686,8.5663,27.8564
-0.1583,-0.1121,0.238,0.0552,-1.0455,-0.0602,-0.3322,0.5006,0.4968,0.6263,45.2637,7.8674,27.1774
-0.2168,-0.1214,0.2594,0.051,-1.0444,-0.0581,-0.331,0.4989,0.4976,0.6277,45.2637,7.8674,27.1774
-0.251,-0.124,0.3321,0.0478,-1.0402,-0.057,-0.3296,0.4971,0.4984,0.6292,45.2637,7.8674,27.1774
-0.2792,-0.1332,0.331,0.0456,-1.0359,-0.0527,-0.3284,0.4955,0.4991,0.6305,45.2637,7.8674,27.1774
